name,parent
Top Level,null
Level 2: A,Top Level
Level 2: B,Top Level
ผัก,Top Level
ผลไม้,Top Level
ผลไม้ดอง,ผลไม้
ผลไม้ต่างประเทศ,ผลไม้
ผลไม้ทั่วไป,ผลไม้
ผลไม้ฤดูกาล,ผลไม้
เครื่องเทศและอื่นๆ,ผัก
ปลาร้า ปูเค็ม หอยดอง,ผัก
ผักดอง ของต้มและแปรรูป,ผัก
ผักต่างประเทศ,ผัก
ผักทั่วไป,ผัก
ผักปรุงรส,ผัก
ผักพื้นบ้าน,ผัก
ผักเมืองหนาว,ผัก
พืชไร่,ผัก
สินค้าเกษตรอบแห้ง,ผัก
หอม กระเทียม พริกแห้ง มะขามเปียก,ผัก
ผลไม้ดอง,ผลไม้ดอง
กระท้อนดอง,ผลไม้ดอง
ผลไม้ดอง,ผลไม้ดอง
ฝรั่งแช่บ๊วย,ผลไม้ดอง
ฝรั่งดอง,ผลไม้ดอง
พุทราดอง,ผลไม้ดอง
มะกอกดอง,ผลไม้ดอง
มะขามแช่อิ่ม,ผลไม้ดอง
มะดันดอง,ผลไม้ดอง
มะปรางดอง,ผลไม้ดอง
มะม่วงแช่อิ่ม,ผลไม้ดอง
มะม่วงดอง,ผลไม้ดอง
มะยมดอง,ผลไม้ดอง
องุ่นดอง,ผลไม้ดอง
